CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,DescripcionRuta,CodigoPersonal,FechaDesde,Periodicidad,Semana,AtiendeLunes,AtiendeMartes,AtiendeMiercoles,AtiendeJueves,AtiendeViernes,AtiendeSabado,AtiendeDomingo
1,1,PRE,,,,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,100,BERISSO UP2,478,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,102,LA FRANJA NORESTE UP,448,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,105,AUTOSERVICIOS UP,315,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,107,ENSENADA UP2,494,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,110,MILKAUT UP 1,509,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,111,MILKAUT UP 3,578,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,113,MILKAUT UP 4,550,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,117,KIOSCOS UP,542,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,118,MILKAUT UP 6,557,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,119,MILKAUT UP 7,580,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,120,GASTRONOMIA UP 2,595,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,121,FRONERI (PDVS IMPORTADOS BACHAJO),,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,122,FRIGOR CASCO,597,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,123,FRIGOR LP NORTE/ENS,585,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,124,FRIGOR LP SUR/MGD,596,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,125,FRONERI (81 PDVS),,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,126,FRIGOR MULTIZONA,591,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,127,MAGDALENA UP,596,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,15,15 - Capital,,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,28,ZONA_311/500/10/20/600/10_UP,490,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,43,CLIENTES ESPECIALES_UP,1,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,73,ELIZALDE 200-210 UP,563,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,77,ENSENADA UP,494,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,87,BERISSO -ENSENADA UP 2,485,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,88,BERISSO UP,496,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,89,LA PLATA ESTE UP 1,471,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,90,LA PLATA NORTE UP,518,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,91,LA PLATA ESTE UP 2,542,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,94,MILKAUT UP 2,511,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,95,CASCO UP,481,2001/01/01,1,1,1,1,1,1,1,0,0
1,1,PRE,96,ELIZALDE UP 2,477,2001/01/01,1,1,1,1,1,1,1,0,0