CodigoDeposito,CodigoArticulo,VencimientoLote,CantidadDecimal,FechaStock
1,2173,2025-05-27,1511,2025-01-27
1,2174,2025-12-23,13,2025-01-27
1,2175,2025-08-26,6,2025-01-27
1,2177,2025-04-25,499,2025-01-27
1,2178,2025-04-25,331,2025-01-27
1,2179,2025-02-24,1410,2025-01-27
1,2196,2025-03-05,233,2025-01-27
1,2197,2025-02-26,99,2025-01-27
1,2198,2025-02-22,124,2025-01-27
1,2199,2025-02-26,154,2025-01-27
1,2203,2025-03-22,45,2025-01-27
1,2204,2025-03-04,76,2025-01-27
1,2207,2025-03-11,59,2025-01-27
1,2208,2025-03-04,89,2025-01-27
1,2210,2025-05-09,29,2025-01-27
1,2211,2025-04-05,2,2025-01-27
1,2213,2025-02-27,3,2025-01-27
1,2215,2025-03-06,4,2025-01-27
1,2216,2025-04-24,4,2025-01-27
1,2218,2025-06-13,2,2025-01-27
1,2219,2026-04-24,1,2025-01-27
1,2220,2025-04-19,9,2025-01-27
1,2221,2025-05-16,5,2025-01-27
1,2222,2025-05-30,1,2025-01-27
1,2223,2025-05-26,3,2025-01-27
1,2224,2025-04-12,8,2025-01-27
1,2225,2025-07-03,21,2025-01-27
1,2226,2025-06-06,32,2025-01-27
1,2228,2025-05-19,116,2025-01-27
1,2229,2025-06-07,139,2025-01-27
1,2230,2025-05-16,86,2025-01-27
1,2231,2025-05-12,150,2025-01-27
1,2232,2025-05-26,157,2025-01-27
1,2235,2025-05-04,6,2025-01-27
1,2236,2025-03-23,18,2025-01-27
1,2237,2025-03-18,21,2025-01-27
1,2238,2025-06-12,2,2025-01-27
1,2239,2025-02-25,11,2025-01-27
1,2241,2025-03-17,89,2025-01-27
1,2243,2025-03-08,7,2025-01-27
1,2249,2025-02-20,1,2025-01-27
1,2250,2025-04-25,5,2025-01-27
1,2251,2025-04-29,8,2025-01-27
1,2273,2025-03-12,117,2025-01-27
1,2282,2025-06-05,26,2025-01-27
1,2294,2025-03-04,1,2025-01-27
1,2339,2025-05-25,27,2025-01-27
1,2340,2024-05-31,0,2025-01-27
1,2344,2025-06-20,6,2025-01-27
1,2359,2025-08-27,10,2025-01-27
1,2360,2025-08-17,12,2025-01-27
1,2389,2025-08-26,518,2025-01-27
1,2391,2025-09-12,88,2025-01-27
1,2393,2025-04-19,11,2025-01-27
1,2430,2025-03-07,13,2025-01-27
1,2436,2024-06-07,0,2025-01-27
1,2437,2025-08-16,10,2025-01-27
1,2512,2025-05-17,31,2025-01-27
1,2830,2025-02-23,13,2025-01-27
1,2865,2024-07-18,0,2025-01-27
1,2873,2025-05-04,1,2025-01-27
1,2933,2025-02-20,886,2025-01-27
1,2934,2025-02-19,239,2025-01-27
1,2935,2025-02-19,207,2025-01-27
1,2955,2025-02-16,224,2025-01-27
1,2958,2025-03-07,4,2025-01-27
1,2962,2025-02-23,22,2025-01-27
1,3023,2025-03-11,127,2025-01-27
1,3024,2025-06-07,80,2025-01-27
1,3025,2025-03-01,28,2025-01-27
1,3029,2025-02-18,50,2025-01-27
1,3030,2023-09-24,73,2025-01-27
1,3031,2025-02-18,31,2025-01-27
1,3047,2025-02-26,1201,2025-01-27
1,3048,2025-02-26,1646,2025-01-27
1,3109,2025-02-21,885,2025-01-27
1,3122,2025-04-06,1,2025-01-27
1,3125,2025-03-01,21,2025-01-27
1,3126,2025-04-22,30,2025-01-27
1,3137,2025-02-27,1079,2025-01-27
1,3138,2025-02-28,28,2025-01-27
1,3139,2025-02-28,28,2025-01-27
1,3141,2025-05-03,429,2025-01-27
1,3151,2025-02-11,39,2025-01-27
1,3152,2025-02-11,36,2025-01-27
1,3157,2025-02-25,1836,2025-01-27
1,3173,2025-03-19,57,2025-01-27
1,3174,2025-06-06,8,2025-01-27
1,3181,2025-02-27,60,2025-01-27
1,3199,2023-05-31,177,2025-01-27
1,3225,2025-04-03,293,2025-01-27
1,3254,2022-11-08,0,2025-01-27
1,3255,2024-12-26,0,2025-01-27
1,3264,2025-03-12,191,2025-01-27
1,3265,2025-02-02,0,2025-01-27
1,3266,2025-02-02,0,2025-01-27
1,3267,2025-02-02,0,2025-01-27
1,3303,2025-03-05,44,2025-01-27
1,3351,2025-03-25,601,2025-01-27
1,3353,2025-03-24,540,2025-01-27
1,3400,2025-03-05,115,2025-01-27
1,3405,2027-06-11,819,2025-01-27
1,3424,2025-02-27,628,2025-01-27
1,3445,2025-06-13,5491,2025-01-27
1,3446,2025-05-20,4513,2025-01-27
1,3447,2025-04-19,270,2025-01-27
1,3456,2025-03-02,264,2025-01-27
1,3457,2025-02-26,773,2025-01-27
1,3458,2025-04-16,265,2025-01-27
1,3460,2025-02-13,1,2025-01-27
1,3462,2025-01-27,0,2025-01-27
1,3463,2025-01-27,1,2025-01-27
1,3481,2024-11-26,0,2025-01-27
1,3483,2025-03-01,211,2025-01-27
1,3491,2025-03-20,929,2025-01-27
1,3523,2025-06-26,299,2025-01-27
1,3529,2026-04-03,0,2025-01-27
1,3632,2025-04-05,389,2025-01-27
1,3647,2025-06-10,131,2025-01-27
1,3904,2025-02-16,380,2025-01-27
1,3911,2025-02-22,1153,2025-01-27
1,3912,2025-02-21,1226,2025-01-27
1,3921,2025-03-27,1,2025-01-27
1,3922,2025-06-01,26,2025-01-27
1,3927,2025-02-23,224,2025-01-27
1,3928,2025-02-22,331,2025-01-27
1,3929,2025-02-22,895,2025-01-27
1,3930,2025-02-22,898,2025-01-27
1,3931,2025-04-03,0,2025-01-27
1,4080,2025-01-27,70,2025-01-27